date,pe_ratio
01/05/1908,12.17488431
01/06/1908,12.32258065
01/07/1908,12.91374531
01/08/1908,13.61463656
01/09/1908,13.61666667
01/10/1908,13.93898534
01/11/1908,15.05028123
01/12/1908,15.56896552
01/01/1909,15.22689076
01/02/1909,14.42622951
01/03/1909,14.272
01/04/1909,14.5625
01/05/1909,14.70229008
01/06/1909,14.62686567
01/07/1909,14.51094891
01/08/1909,14.54285714
01/09/1909,14.25174825
01/10/1909,14.01369863
01/11/1909,13.66442953
01/12/1909,13.55263158
01/01/1910,13.30693069
01/02/1910,12.87417219
01/03/1910,13.2358804
01/04/1910,12.96
01/05/1910,12.78929766
01/06/1910,12.2147651
01/07/1910,11.63636364
01/08/1910,11.95945946
01/09/1910,12.08135593
01/10/1910,12.68027211
01/11/1910,12.70989761
01/12/1910,12.39726027
01/01/1911,12.90547125
01/02/1911,13.3437102
01/03/1911,13.41007194
01/04/1911,13.5811503
01/05/1911,14.1134435
01/06/1911,14.65151515
01/07/1911,14.85423415
01/08/1911,14.40238731
01/09/1911,13.872
01/10/1911,14.21816403
01/11/1911,15.07395712
01/12/1911,15.44067797
01/01/1912,15.22029372
01/02/1912,14.86108828
01/03/1912,15.06072874
01/04/1912,15.30237753
01/05/1912,15.06763133
01/06/1912,14.85271318
01/07/1912,14.65912565
01/08/1912,14.78968792
01/09/1912,14.66171004
01/10/1912,14.43450198
01/11/1912,14.0851187
01/12/1912,13.4
01/01/1913,13.39671564
01/02/1913,13.03210809
01/03/1913,12.89377289
01/04/1913,12.98950791
01/05/1913,12.74597496
01/06/1913,12.21052632
01/07/1913,12.4848301
01/08/1913,12.93433338
01/09/1913,13.17374517
01/10/1913,12.87205859
01/11/1913,12.66121422
01/12/1913,12.76190476
01/01/1914,13.48260309
01/02/1914,13.86300474
01/03/1914,13.80912863
01/04/1914,13.68616214
01/05/1914,13.98493667
01/06/1914,14.13913043
01/07/1914,13.57370095
01/08/1914,13.7955811
01/09/1914,14.02739726
01/10/1914,14.26713728
01/11/1914,14.51247166
01/12/1914,14.13461538
01/01/1915,13.6
01/02/1915,12.72413793
01/03/1915,12.40983607
01/04/1915,12.71875
01/05/1915,11.86567164
01/06/1915,11.48571429
01/07/1915,10.97260274
01/08/1915,10.98684211
01/09/1915,10.96202532
01/10/1915,11.14634146
01/11/1915,11.12941176
01/12/1915,10.77272727
01/01/1916,9.987154785
01/02/1916,9.308914297
01/03/1916,8.800383877
01/04/1916,8.268003646
01/05/1916,8.053866203
01/06/1916,7.767634855
01/07/1916,7.33121525
01/08/1916,7.083015994
